year,Cat 5 (raw),Cat 4 (raw),sum (raw),SST,CO2,tropical storms,hurricanes only,maj hurricanes,total storm count,number of hurricanes adjusted NOAA,SST (NOAA),PDI (NOAA)
1950,0,0,0,-0.5531796,-999,16,11,6,27,8.302,-999,-999
1951,0,1,1,-0.368496,-999,12,8,3,20,8.34138,82.1066,2.7846
1952,0,3,3,-0.2612952,-999,11,5,2,16,8.30516,82.21388,2.3445
1953,0,4,4,-0.2661372,-999,14,7,3,21,7.86162,82.15412,2.2639
1954,0,4,4,-0.5613282,-999,16,7,3,23,7.03774,82.01354,2.473
1955,2,6,8,-0.632412,-999,13,9,4,22,6.60828,81.9455,2.4041
1956,0,0,0,-0.5871312,-999,8,4,2,12,6.58736,82.02902,2.1531
1957,0,1,1,-0.2226618,-999,8,3,2,11,6.56382,82.09598,2.0011
1958,0,5,5,-0.1943208,-999,10,7,5,17,5.53962,82.02362,2.0499
1959,0,0,0,-0.2735424,315.97,11,7,2,18,6.32076,81.87494,2.389
1960,0,17,17,-0.3035772,316.91,7,4,2,11,6.32586,81.8078,2.7669
1961,1,24,25,-0.2642508,317.64,11,8,7,19,6.32194,81.8978,2.8063
1962,0,0,0,-0.2717028,318.45,5,3,1,8,6.10684,81.9482,2.6079
1963,0,3,3,-0.260397,318.99,9,7,2,16,6.09758,81.85316,2.4965
1964,0,4,4,-0.5913306,319.62,12,6,6,18,5.79868,81.75254,2.6412
1965,0,4,4,-0.489249,320.04,6,4,1,10,6.28954,81.7466,2.7114
1966,0,2,2,-0.39411,321.38,11,7,3,18,5.58426,81.77846,2.4241
1967,0,3,3,-0.4203576,322.16,8,6,1,14,6.693,81.81104,2.1513
1968,0,0,0,-0.38187,323.04,8,5,0,13,6.8,81.87872,1.9995
1969,4,0,4,-0.0876366,324.62,18,12,5,30,6.6,81.91652,1.91
1970,0,1,1,-0.3086334,325.68,10,5,2,15,6,81.78728,1.8215
1971,0,1,1,-0.5571756,326.32,13,6,1,19,6,81.55508,1.5311
1972,0,1,1,-0.2051676,327.45,7,3,0,10,4.4,81.4136,1.3023
1973,0,0,0,-0.1836738,329.68,8,4,1,12,4.6,81.37796,1.3258
1974,0,4,4,-0.4251924,330.18,11,4,2,15,4.6,81.41198,1.5447
1975,0,3,3,-0.4675428,331.11,9,6,3,15,5,81.51332,1.7044
1976,0,0,0,-0.4096278,332.04,10,6,2,16,5.2,81.61736,1.5849
1977,0,4,4,-0.0397692,333.83,6,5,1,11,5.4,81.68396,1.5081
1978,0,0,0,-0.165393,335.4,12,5,2,17,6,81.78962,1.9018
1979,0,16,16,0.0692586,336.84,9,6,2,15,6.2,81.97178,2.6182
1980,8,12,20,0.0771966,338.75,11,9,2,20,5.6,82.03964,2.8708
1981,0,0,0,0.0219924,340.11,12,7,3,19,5.2,81.88304,2.278
1982,0,0,0,-0.0032202,341.45,6,2,1,8,5.2,81.6503,1.4246
1983,0,0,0,0.1239354,343.05,4,3,1,7,4.8,81.50918,1.139
1984,0,0,0,-0.0596304,344.65,13,5,1,18,4.2,81.4901,1.3853
1985,2,9,11,-0.109917,346.12,11,7,3,18,4.4,81.60332,1.51
1986,0,0,0,-0.0137916,347.42,6,4,0,10,4.8,81.84002,1.4708
1987,0,0,0,0.2456388,349.19,7,3,1,10,5.2,82.05314,1.8049
1988,5,14,19,0.1634436,351.57,12,5,3,17,5.4,82.17536,2.4896
1989,1,30,31,0.0785898,353.12,11,7,2,18,5.4,82.16564,2.757
1990,0,0,0,0.274842,354.39,14,8,1,22,5.6,82.02452,2.3579
1991,0,1,1,0.2497932,355.61,8,4,2,12,5.4,81.82904,1.8318
1992,0,11,11,0.0669942,356.45,7,4,1,11,4.6,81.67334,1.5038
1993,0,0,0,0.0748224,357.1,8,4,1,12,5.2,81.734,1.6579
1994,0,0,0,0.1436454,358.83,7,3,0,10,6.2,81.95414,2.5317
1995,2,31,33,0.2219328,360.82,19,11,5,30,6,82.17032,3.469
1996,0,17,17,0.1661922,362.61,13,9,6,22,7.2,82.37804,3.7677
1997,0,0,0,0.428193,363.73,8,3,1,11,8.2,82.553,3.6987
1998,4,11,15,0.5327244,366.7,14,10,3,24,7.6,82.6268,3.8579
1999,0,29,29,0.1698606,368.38,12,8,5,20,7.6,82.55858,4.0137
2000,0,4,4,0.2325024,369.55,15,8,3,23,7.8,82.41872,3.502
2001,0,5,5,0.4042188,371.14,15,9,4,24,7.2,82.41242,2.9404
2002,0,7,7,0.4671414,373.28,12,4,2,16,7.4,82.60628,3.4359
2003,5,28,33,0.5250798,375.8,16,7,3,23,8.8,82.86494,4.9011
2004,14,35,49,0.4946364,377.52,15,9,6,24,8,83.07068,6.0003
2005,19,33,52,0.5327874,379.8,28,15,7,43,8.4,83.06402,5.5528
2006,0,0,0,0.5114556,381.9,10,5,2,15,8.6,82.87646,4.1876
2007,4,18,22,0.3846042,383.79,15,6,2,21,7.4,82.71716,3.1377
2008,0,11,11,0.3673116,385.6,16,8,5,24,6.8,82.74092,2.8979
2009,0,2,2,0.5894424,387.43,9,3,2,12,7.2,82.93082,3.086
2010,0,36,36,0.6127182,389.9,19,12,5,31,8,83.06348,3.2155
2011,0,4,4,0.4286736,391.65,19,7,4,26,6.8,83.07806,3.0646
2012,0,4,4,0.528696,393.85,19,10,2,29,7.4,83.00318,2.4496
2013,0,0,0,0.5846742,396.52,14,2,0,16,5.8,82.9085,1.8444
2014,0,4,4,0.7512552,398.65,8,6,2,14,-999,-999,-999
2015,0,13,13,0.935577,400.83,-999,-999,-999,-999,-999,-999,-999
2016,0,20,20,-999,404.21,-999,-999,-999,-999,-999,-999,-999
